BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200209,8,1250,200209,8,1305,2151859,5325452,UTAH,49,2002,September,Tornado,C,39,SANPETE,SLC,9/8/2002 12:50,MST,9/8/2002 13:05,0,0,0,0,2M,100K,GENERAL PUBLIC,,,,,F2,2.7,270,,,,,,,MANTI,,,MANTI,,,,,,"An F2 tornado began one mile south-southwest of Manti and moved northeast through Southeast Manti. The first mile of the tornado path was across open land, however the tornado produced some remarkable damage at the start. A 10X12 foot pioneer building was lifted, rotated 90 degrees, and moved 8 feet before being dropped back to the ground. At the south end of Manti, the tornado struck the Anderson Lumber business and did substantial damage. A 40 foot semi-trailer, loaded with insulation, was lifted and thrown onto it's side approximately 35 to 40 feet away. A large amount of debris, along with a 10X10 foot wooden shed, was thrown across Highway 89 and over the hill some 200 to 300 feet away. The wide swath of the tornado did considerable damage as it moved through the residential area in Southeast Manti. As the tornado exited the residential area, where some of the heaviest damage occurred, a 26 foot camp trailer was lifted and thrown to the west-northwest some 150 to 200 feet and disintegrated. The tornado continued across open farmland another half a mile or so before dissipating near the mountains. It has been determined that this was a high-end F2 tornado, with winds as high as 157 mph. The distance traveled was 2.75 miles, and the width was 800 feet. Time on the ground was approximately 15 minutes. Estimated damage is around $2,000,000, but could still go higher. Amazingly, there were no injuries.",PDS
200209,12,1330,200209,12,1335,2151863,5325456,UTAH,49,2002,September,Tornado,C,55,WAYNE,SLC,9/12/2002 13:30,MST,9/12/2002 13:35,0,0,0,0,0,0,GENERAL PUBLIC,,,,,F0,0.2,20,,,,,,,HANKSVILLE,,,HANKSVILLE,,,,,,"A small tornado (F0) was observed 20 miles southeast of Hanksville in Wayne County. It was on the ground over open country for a short time, and debris from the ground was observed rising before the funnel dissipated.",PDS
200209,12,1055,200209,12,1056,2151862,5325455,UTAH,49,2002,September,Tornado,C,39,SANPETE,SLC,9/12/2002 10:55,MST,9/12/2002 10:56,0,0,0,0,0,0,GENERAL PUBLIC,,,,,F0,0.1,10,,,,,,,EPHRAIM,,,EPHRAIM,,,,,,"A small tornado (F0) was observed just west of Ephraim in Sanpete County. The tornado moved slowly to the northeast over open country before dissipating. This tornado remained on the ground for only a few seconds, but the funnel cloud was visible for about 10 minutes.",PDS
200207,19,1345,200207,19,1350,2151831,5324591,WYOMING,56,2002,July,Tornado,C,41,UINTA,SLC,7/19/2002 13:45,MST,7/19/2002 13:50,0,0,0,0,0,0,GENERAL PUBLIC,,,,,F0,0.5,20,,,,,,,FT BRIDGER,,,FT BRIDGER,,,,,,"A small tornado was reported over open country near Fort Bridger, Wyoming. It remained over open country and dissipated, causing no damage.",PDS
200212,24,1015,200212,24,1015,1144700,5323897,GEORGIA,13,2002,December,Tornado,C,69,COFFEE,JAX,12/24/2002 10:15,EST,12/24/2002 10:15,0,0,0,0,5K,,UTILITY COMPANY,,,,,F0,0.1,10,,,,,,,NICHOLLS,,,NICHOLLS,31.51667,-82.65,31.51667,-82.65,,Brief touchdown. Trees and power poles snapped off with power lines downed.,PDS
200212,24,1025,200212,24,1025,1144701,5323898,GEORGIA,13,2002,December,Tornado,C,161,JEFF DAVIS,JAX,12/24/2002 10:25,EST,12/24/2002 10:25,0,0,0,0,5K,,UTILITY COMPANY,,,,,F0,0.1,10,,,,,3,S,HAZELHURST,3,S,HAZELHURST,31.81667,-82.6,31.81667,-82.6,,Brief touchdown.  Trees down on power lines with power lines down.  Power poles snapped off above ground.,PDS
200211,9,2115,200211,9,2123,1144832,5323697,ARKANSAS,5,2002,November,Tornado,C,37,CROSS,MEG,11/9/2002 21:15,CST,11/9/2002 21:23,0,0,0,0,25K,,NWS STORM SURVEY,,,,,F2,1.5,440,,,,,1,SW,TWIST,1,SW,TWIST,35.35,-90.53333,35.35,-90.51667,,The tornado touched down just southwest of Twist and moved northeast and later moved into Crittenden County. Some farm buildings were damaged. Several trees and power poles were blown down.,PDS
200211,9,2123,200211,9,2150,1144832,5323698,ARKANSAS,5,2002,November,Tornado,C,35,CRITTENDEN,MEG,11/9/2002 21:23,CST,11/9/2002 21:50,0,0,0,0,600K,,NWS STORM SURVEY,,,,,F2,17.6,440,,,,,7,NW,EARLE,7,NW,EARLE,35.33333,-90.55,35.43333,-90.2,,"The tornado moved into Crittenden county from Cross county and continued to move northeast. The tornado produced some damage near the town of Heafer. A mobile home and 2 farm shops were destroyed. A church and parsonage, three mobile homes and five houses were also damaged. The tornado then continued across the county and reached the town of Gilmore. Fourteen mobile homes were destroyed or suffered major damage. Nineteen houses and several cars were also damaged. Numerous trees and power lines were knocked down across the county. The tornado eventually moved out of the county near Menesha and entered Mississippi county.",PDS
200212,24,1055,200212,24,1055,1144710,5323907,GEORGIA,13,2002,December,Tornado,C,5,BACON,JAX,12/24/2002 10:55,EST,12/24/2002 10:55,0,0,0,0,40K,,EMERGENCY MANAGER,,,,,F0,2,100,,,,,6,S,ALMA,6,S,ALMA,31.45,-82.46667,31.45,-82.46667,,House damaged by 16 inch diameter tree. Numerous trees down. 2 mile long path about 100 yards wide.,PDS
200212,24,1055,200212,24,1055,1144711,5323908,GEORGIA,13,2002,December,Tornado,C,5,BACON,JAX,12/24/2002 10:55,EST,12/24/2002 10:55,0,0,0,0,10K,,EMERGENCY MANAGER,,,,,F0,0.1,100,,,,,8,N,ALMA,8,N,ALMA,31.65,-82.46667,31.65,-82.46667,,Numerous trees snapped off and down along Hwy 23.,PDS
